# List of animal species latin names, obtained from the Open Tree of Life project (OTL tip names, version 13.4, accessed October 27, 2021)
Grantia singularis
Grantia intermedia
Grantia laevigata
Grantia genuina
Grantia indica
Grantia erinacea
Ascyssa troglodytes
Ascyssa coralloides
Ascyssa acufera
Ascute uteoides
Ascute asconoides
Leucosolenia eleanor
Leucosolenia complicata
Leucosolenia arachnoides
Leucosolenia australis
Leucosolenia pilosella
Leucosolenia cervicornis
Leucosolenia serica
Leucosolenia mollis
Leucosolenia horrida
Leucosolenia fragilis
Leucosolenia clarkii
Leucosolenia lucasi
Leucosolenia cyathus
Leucosolenia aboralis
Leucosolenia cavata
Leucosolenia solida
Leucosolenia nautilia
Leucosolenia rosea
Leucosolenia goethei
Leucosolenia echinata
Leucosolenia hispidissima
Leucosolenia botryoides
Leucosolenia pyriformis
Leucosolenia kagoshimensis
Leucosolenia discoveryi
Leucosolenia tenera
Leucosolenia vesicula
Leucosolenia feuerlandica
Leucosolenia ventosa
Leucosolenia variabilis
Leucosolenia gegenbauri
Leucosolenia minchini
Leucosolenia parthenopea
Leucosolenia macquariensis
Leucosolenia minuta
Leucosolenia microspinata
Leucosolenia eustephana
Leucosolenia falklandica
Leucosolenia albatrossi
Leucosolenia incerta
Leucosolenia somesii
Leucosolenia salpinx
Leucosolenia albatrossia
Sycon capricorn
Synute pulchella
Aphroceras primigenium
Aphroceras echinata
Aphroceras saccharatum
Aphroceras niveum
Aphroceras pulvinar
Aphroceras cataphracta
Aphroceras elongata
Aphroceras goessi
Aphroceras fistulosa
Aphroceras incrustans
Aphroceras alcicornis
Aphroceras solidum
Aphroceras oruetai
Aphroceras crustaccum
Aphroceras asperum
Aphroceras caespitosa
Aphroceras cladocora
Aphroceras ensata
Aphroceras corticata
Grantessa sagamiana
Grantessa erinaceus
Grantessa bifida
Grantessa nemurensis
Grantessa ampullae
Grantessa sacca
Grantessa hirsuta
Grantessa spissa
Grantessa polyperistomia
Grantessa parva
Grantessa rarispinosa
Grantessa ramosa
Grantessa preiwischi
Grantessa mitsukurii
Grantessa hispida
Grantessa intusarticulata
Grantessa gracilis
Grantessa boomerang
Grantessa pluriosculifera
Grantessa shimoda
Grantessa erecta
Grantessa shimeji
Grantessa compressa
Grantessa pelagica
Grantessa grantiformis
Grantessa keukenthali
Grantessa papillata
Grantessa anisactina
Grantessa basipapillata
Grantessa tenhoveni
Grantessa borojevici
Grantessa woerheidei
Grantessa rarispina
Grantessa syconoides
Grantessa tuba
Grantessa tumida
Syconessa panicula
Syconessa syconiformis
Sycettusa tenuis
Sycettusa chilensis
Sycettusa lanceolata
Sycettusa nitida
Sycettusa glabra
Sycettusa thompsoni
Sycettusa kuekenthali
Sycettusa simplex
Sycettusa stauridia
Sycettusa hastifera
Sycettusa glacialis
Sycettusa murmanensis
Sycettusa sycilloides
Sycettusa sibogae
Sycettusa poculum
Sycettusa flamma
Sycettusa hirsutissima
Sycettusa zanzibaris
Paralelapia nipponica
Kebira uteoides
Kebira tetractinifera
Sycyssa huxleyi
Lelapia antiqua
Lelapia australis
Lelapia uteoides
Lelapia antigua
Grantiopsis heroni
Grantiopsis cylindrica
Grantiopsis infrequens
Grantiopsis fruticosa
Grantiopsis antiqua
Grantiopsis minuta
Teichonopsis labyrinthica
Ute ampullacea
Ute spiculosa
Ute armata
Ute spenceri
Ute viridis
Ute gladiata
Sycon carteri
Ute syconoides
